"","A_09_195_S6_R1_001","A_10_313_S9_R1_001","A_11_062_S8_R1_001","A_12_011_S10_R1_001","A_13_027_S12_R1_001","A_13_086_S11_R1_001","A_14_022_S5_R1_001","A_14_076_S7_R1_001"
"tRF-16-8K587SB",0,1,0,0,0,0,0,2
"tRF-16-8KSWRNE",0,1,0,0,0,0,0,0
"tRF-16-8NWE6W0",1,0,0,0,1,1,0,0
"tRF-16-8P4U1DD",0,1,0,0,1,1,0,1
"tRF-16-8P7SERE",1,0,0,0,0,0,0,0
"tRF-16-8PLML3E",2,3,0,0,1,0,0,1
"tRF-16-8R6546D",10,9,9,15,16,15,17,16
"tRF-16-8RPY8HD",0,3,0,0,0,0,0,0
"tRF-16-8RQFR90",3,1,0,0,1,0,3,1
"tRF-16-8RQFR9B",0,0,0,1,0,0,0,0
"tRF-16-8RR95RD",0,0,0,1,0,0,0,0
"tRF-16-8RR9BME",0,0,0,0,0,1,0,0
"tRF-16-8RR9ODD",0,0,1,0,2,0,0,0
"tRF-16-8S2SP5D",0,2,1,4,0,2,4,0
"tRF-16-8S68L5D",40,48,28,48,42,66,65,52
"tRF-16-8S746DD",2,1,0,1,1,0,6,1
"tRF-16-8SP25VD",0,0,0,0,0,0,1,0
"tRF-16-8SPOF5D",0,0,0,0,1,0,1,0
"tRF-16-8SPOL5D",13,17,6,20,8,7,16,10
"tRF-16-8SPP6DD",0,0,0,0,0,0,0,1
"tRF-16-8SQ2SVD",0,1,0,0,0,0,0,0
"tRF-16-8W1WF8E",0,0,0,0,1,0,0,0
"tRF-16-8W6ZFY0",0,1,0,0,0,0,0,0
"tRF-16-8WQ0D5D",1,2,5,4,4,1,8,2
"tRF-16-8WR8WPE",1,0,0,0,0,0,0,0
"tRF-16-8XVQN5D",0,0,0,0,1,1,0,0
"tRF-16-8Y19O1E",0,0,0,0,0,3,1,0
"tRF-16-8Y3DUVD",19,18,17,20,30,23,14,23
"tRF-16-8YWJUVD",0,0,0,0,0,1,0,0
"tRF-16-8Z1MQ8E",5,0,1,0,6,1,2,0
"tRF-16-91PJB7D",0,0,0,0,0,0,0,1
"tRF-16-93Q01MD",0,0,0,1,0,0,0,0
"tRF-16-945NB2D",15,13,31,12,22,8,23,16
"tRF-16-94V4SMB",2,1,1,1,5,2,5,0
"tRF-16-96L85DE",1,1,0,0,0,0,1,0
"tRF-16-983FPDD",0,1,0,0,0,0,1,0
"tRF-16-99DMEM0",0,0,0,0,0,0,1,0
"tRF-16-99OMEM0",0,0,0,0,0,0,0,1
"tRF-16-9D5HLY0",1,0,0,0,0,0,0,0
"tRF-16-9EDJSYB",4,5,1,1,2,2,0,4
"tRF-16-9H93WBE",2,0,0,1,1,4,1,4
"tRF-16-9I1EZJ0",0,0,0,0,0,0,1,0
"tRF-16-9J94KV0",0,0,0,1,0,0,0,0
"tRF-16-9KR959D",2,0,1,1,0,0,0,0
"tRF-16-9KZR3HD",0,0,0,0,1,0,0,0
"tRF-16-9L1HW3D",0,0,0,0,0,0,0,1
"tRF-16-9L5H4VE",0,1,0,0,0,1,0,0
"tRF-16-9L5HJVE",1,0,0,1,0,0,1,2
"tRF-16-9L5HMVE",8,5,7,4,4,6,5,5
"tRF-16-9MH57SD",4,8,0,0,0,1,0,0
"tRF-16-9MVH7P0",1,0,0,0,0,0,0,0
"tRF-16-9N1EWJ0",66,29,47,23,157,101,175,67
"tRF-16-9N1QKSD",0,0,0,0,1,5,0,1
"tRF-16-9NDJ58B",0,0,0,0,0,1,1,0
"tRF-16-9NDJ78B",2,0,0,0,0,0,0,0
"tRF-16-9NDJI8B",0,0,0,0,1,0,1,0
"tRF-16-9NF5W80",0,0,0,0,0,1,1,0
"tRF-16-9NFJE8E",0,0,0,0,0,1,0,0
"tRF-16-9NH5SYD",0,5,1,1,2,3,0,0
"tRF-16-9NLJK1D",0,0,0,1,0,0,0,0
"tRF-16-9NLM3KE",0,0,0,0,1,1,0,1
"tRF-16-9NS334D",29,24,28,59,47,23,96,47
"tRF-16-9PW4PU0",0,0,0,0,1,1,2,0
"tRF-16-9Q5JK80",0,0,1,1,0,2,2,1
"tRF-16-9RQ4R90",3,0,3,1,6,8,11,0
"tRF-16-9URRM3E",0,0,0,0,1,0,0,0
"tRF-16-B11KWHB",0,0,0,0,0,0,0,1
"tRF-16-B4ZPEKD",8,2,5,13,3,3,12,7
"tRF-16-B6O4PU0",0,0,0,1,0,0,0,0
"tRF-16-B6R3LU0",2,1,1,1,0,1,0,1
"tRF-16-BE7XO80",3,4,6,8,0,1,9,6
"tRF-16-BK87R90",0,2,0,1,0,0,2,1
"tRF-16-BK8RR90",2,3,2,1,0,0,1,0
"tRF-16-BKYSR90",0,1,1,0,1,1,0,0
"tRF-16-BKZ3R90",0,3,0,2,2,0,2,4
"tRF-16-BKZ4R90",1,0,0,0,0,0,0,0
"tRF-16-BM32LJD",0,0,0,2,2,3,1,4
"tRF-16-BMM3PRD",0,2,0,0,0,0,0,0
"tRF-16-BMW36DD",0,0,0,2,1,1,0,0
"tRF-16-BMW3RDD",1,0,0,0,0,0,0,0
"tRF-16-BMWIRJD",0,0,0,0,1,1,0,0
"tRF-16-BP1IUUD",18,6,13,12,14,4,49,2
"tRF-16-BP4MJY0",1,0,0,1,1,0,1,2
"tRF-16-BRX9QV0",1,0,0,0,0,0,0,1
"tRF-16-BS5EOBD",0,3,3,6,4,2,8,0
"tRF-16-BS68BFD",101,140,65,39,484,170,293,157
"tRF-16-BSF8BFD",0,0,1,0,0,0,0,1
"tRF-16-BX1WZ40",0,0,0,0,0,0,0,1
"tRF-16-BY68BFD",0,0,0,0,1,0,0,0
"tRF-16-D3L87SB",0,0,0,0,1,0,0,0
"tRF-16-D3XW76B",0,2,0,0,0,2,0,0
"tRF-16-D6FU8U0",0,0,0,0,0,1,0,0
