"","A_09_195_S6_R1_001","A_10_313_S9_R1_001","A_11_062_S8_R1_001","A_12_011_S10_R1_001","A_13_027_S12_R1_001","A_13_086_S11_R1_001","A_14_022_S5_R1_001","A_14_076_S7_R1_001"
"tRF-34-K5I34JRX6N38KQ",48,34,1,3,39,52,12,4
"tRF-34-K694U47P299DKP",8,0,0,1,1,0,3,1
"tRF-34-K694U4SP299DJP",1,0,0,0,1,0,2,0
"tRF-34-K768WP9N1EWJI5",1,1,0,0,0,2,0,0
"tRF-34-K84J83ML5F92H3",50,19,20,44,24,20,75,29
"tRF-34-K84J83ML5FX2H3",63,30,31,35,47,21,59,48
"tRF-34-K8HJ83ML5F82HQ",4,1,1,3,3,6,7,5
"tRF-34-KF9MVH7P59N3K5",463,239,330,373,219,103,580,125
"tRF-34-KHM26RRNLNK812",1,0,0,0,0,0,0,0
"tRF-34-KHPSR95933JK0V",1,0,0,0,0,1,0,0
"tRF-34-KJ5R5N23489B15",0,0,0,1,0,0,0,1
"tRF-34-KJ5R5N2E489215",0,0,0,0,0,0,1,0
"tRF-34-KJ5R5N2E489B15",6,2,2,1,2,6,4,4
"tRF-34-KJ5R5NL3489B15",1,0,0,1,2,1,1,2
"tRF-34-KK5Y93W0863820",0,0,0,0,0,1,1,0
"tRF-34-KK5Y93W086382B",1,0,0,0,0,0,0,0
"tRF-34-KK5Y93W086K82B",0,0,0,0,1,1,2,0
"tRF-34-KK5Y93W086W820",0,0,6,6,3,2,4,3
"tRF-34-KK91M3WD8SS4I6",0,0,0,1,0,0,2,1
"tRF-34-KKM1M3WD8S74I6",76,21,13,6,56,24,37,14
"tRF-34-KKRSL38BWSNKI3",7,3,1,9,3,4,3,4
"tRF-34-KKRSL38EWSNKI3",0,1,3,4,0,0,1,2
"tRF-34-KKRSL3WE3SNKI3",1,1,2,1,0,1,0,1
"tRF-34-KKSWRNLJK578IM",2,1,2,2,3,1,0,1
"tRF-34-KL9MVH7P59N3K5",91,46,29,50,32,18,125,17
"tRF-34-KNNVORRNLNK8I4",2,0,0,0,0,3,1,4
"tRF-34-KP7J3KYU4RRQIX",1,0,0,0,0,0,0,0
"tRF-34-KP91U45O6QJ1JK",0,0,0,0,0,0,1,0
"tRF-34-KPQJ3KYU4RRWIX",6,6,1,3,4,7,4,5
"tRF-34-KQI34JRX6N38KQ",17,7,3,7,4,8,2,1
"tRF-34-KQRWD8YJE76IKL",0,1,0,0,0,0,2,0
"tRF-34-KQWYL1M3WE8SI8",32,23,10,12,33,30,14,25
"tRF-34-KSBE78YLKZKWEO",2,0,0,0,0,0,0,0
"tRF-34-KSLP7SBRX9QVI2",0,0,2,1,0,0,1,0
"tRF-34-KSLP7SDR9SQ5I2",0,0,0,0,0,0,0,1
"tRF-34-KSLP7SDRX90JI2",0,0,0,1,0,2,1,0
"tRF-34-KSLP7SDRXSE5I2",2,1,0,1,1,1,4,1
"tRF-34-KUB4Z3V5393LH1",0,0,0,0,0,0,1,0
"tRF-34-KVNMEH623K76F5",1,0,0,0,0,0,0,0
"tRF-34-KY73436X6NMHHQ",7,1,2,1,8,6,1,1
"tRF-34-KY7343RX6NMHH3",847,284,160,174,424,207,453,135
"tRF-34-KYQ343RX6NMHH3",1,0,0,2,0,1,1,0
"tRF-34-L0DFQ9B1XSRIJ2",1,5,4,9,0,0,5,0
"tRF-34-L0H5RNLDKW3415",1,0,0,0,0,0,0,0
"tRF-34-L0HVRNLDKW3415",0,0,0,0,0,0,1,0
"tRF-34-L2RRM38B8SOUIJ",11,3,1,4,3,7,2,1
"tRF-34-L85DMKYOYRLHIX",23,10,9,17,25,19,12,26
"tRF-34-L85DMKYUYR2HIX",0,0,1,0,0,0,0,0
"tRF-34-L85DMKYUYRLHIX",156,72,129,179,264,276,95,287
"tRF-34-L85J3KYUYR66FM",0,0,1,0,0,0,0,1
"tRF-34-L8K87SIRMM12E2",33,33,10,12,18,7,45,7
"tRF-34-LBINRXURYRSIE2",10,26,10,27,9,7,25,3
"tRF-34-LBRR33WB08Q20U",14,4,1,13,10,8,3,4
"tRF-34-LBRR33WEK8Q20U",1,0,0,1,0,0,2,0
"tRF-34-LBRY73W0K5KKH8",2,1,2,5,2,11,1,0
"tRF-34-LBRY73WEK5KKH8",2,0,0,2,0,0,0,0
"tRF-34-LKZ419518190FV",0,1,0,0,0,4,0,0
"tRF-34-LKZ4195R8190FV",0,0,0,1,0,0,0,0
"tRF-34-LP21W3WB8US5IU",18,0,4,15,8,20,4,12
"tRF-34-LPD3387SFRJ4HR",0,0,0,0,0,1,4,1
"tRF-34-LQ947673FEWS1P",2,0,1,1,0,2,5,0
"tRF-34-LQR47673FEWS1P",0,0,0,0,0,0,1,0
"tRF-34-LR6LQ6S8V0J6HW",98,41,7,360,64,13,35,24
"tRF-34-LR6XQ6S8V0J8HW",3,3,0,0,1,0,0,0
"tRF-34-LR6XQ6S8V0JUHV",3,1,0,1,2,2,2,2
"tRF-34-LR6XQ6S8V0JUHW",27,23,4,5,18,31,6,12
"tRF-34-LSM1M3WE8SPPI6",1,0,0,0,0,0,0,0
"tRF-34-LSM1M3WE8SSPI6",14,3,10,20,6,7,21,4
"tRF-34-LSN3S3RQJVDEJJ",21,13,17,5,19,16,28,16
"tRF-34-LSXMSL73VL4YHE",80,7,17,17,38,5,24,6
"tRF-34-LWNDU8HPDE8P25",0,0,0,1,0,0,0,0
"tRF-34-LWNDU8HPDEWP25",0,1,0,0,0,0,0,0
"tRF-34-LZNL7L73V6M9I3",5,2,0,0,3,3,2,0
"tRF-34-M26RRNLNK8KEI1",1,0,1,0,0,0,3,2
"tRF-34-M26RRNLNK8KQI1",1,0,0,0,0,0,0,0
"tRF-34-M2OSRN2NKSEKH9",207,71,187,153,191,295,237,300
"tRF-34-M2OSRNLNK6EKH9",1,1,1,0,1,4,0,2
"tRF-34-M2OSRNLNKSEKH9",3430,1192,2088,2275,3198,4540,2313,3298
"tRF-34-M3Q01M3KYOHRIR",0,0,0,0,0,0,2,0
"tRF-34-M91YIF54RNZF2J",0,1,0,0,0,0,1,0
"tRF-34-MBQ4NKKQBRFKJL",11,6,4,8,12,50,18,1
"tRF-34-ME6KM87SDR2ZHL",0,0,0,0,0,0,0,2
"tRF-34-MEJB59J3WD8YIP",0,0,0,0,0,1,0,0
"tRF-34-MEJB5YJ3W08Y1M",0,0,0,0,0,1,0,0
"tRF-34-MH490VL8K87SF5",0,0,0,0,1,0,0,0
"tRF-34-MIF91SS2P46IHO",14,12,7,7,6,2,14,5
"tRF-34-MIF91SS2P4FIHO",6,7,1,5,5,0,15,0
"tRF-34-MKSLQ673FJIYEP",0,0,0,0,0,1,0,0
"tRF-34-MNKL7LQ3V6M7IQ",1,0,0,0,0,0,0,0
"tRF-34-MQ18Y3E7QN7J1U",0,0,0,0,2,0,0,0
"tRF-34-MQ5JK876HRMFJ5",0,0,0,0,0,1,1,0
"tRF-34-MUWLV47PU9XWK0",2414,1471,313,1132,982,411,2590,438
"tRF-34-MV9JKL0653L4ID",0,1,0,0,0,0,2,0
"tRF-34-MXE92NBX7ZOO1E",0,0,0,0,0,0,1,0
"tRF-34-MZ3L7L73J6M9I3",1,0,0,0,0,0,1,0
"tRF-34-MZ3L7L73V6M9I3",0,4,0,0,1,5,0,1
"tRF-34-N0RR1380877SI8",0,1,0,2,0,0,0,2
"tRF-34-N2VIJMRPFQJDKQ",0,0,0,0,0,0,1,0
"tRF-34-N2ZPQR16ZSIJ24",0,0,1,0,0,1,0,0
"tRF-34-N2ZPQR17NS5J24",0,0,0,0,0,0,0,2
"tRF-34-N3R7184KISQIK2",5,1,1,1,1,0,2,0
"tRF-34-N3R718YKISQIH2",41,26,9,13,9,4,25,8
"tRF-34-N3S3RQJVDE86K3",0,0,0,0,0,1,1,1
"tRF-34-N547202L2YBE2Q",0,0,0,0,0,0,1,0
"tRF-34-N7S3S3RX8HYVH2",0,0,0,0,0,0,0,1
"tRF-34-N90VL8K87SIR1Z",0,0,0,0,0,1,1,0
"tRF-34-NBDWY2MJ8F811I",0,0,0,4,3,1,0,0
"tRF-34-NBRRX3W03650IU",0,0,0,1,1,0,0,0
"tRF-34-NBRRX3WB365KIU",4,0,2,1,2,1,3,2
"tRF-34-NBRSX3W03628IU",4,9,8,16,4,7,7,7
"tRF-34-NBRSX3WE3628IU",5,4,6,24,3,9,21,8
"tRF-34-NDBP1IUUK7VZEJ",1,0,1,1,2,2,1,0
"tRF-34-NJR718YKISQIH2",0,1,0,0,0,0,0,0
"tRF-34-NK5Y93W086W82K",3,1,1,7,5,1,1,1
"tRF-34-NLD7B2JK7PP9KQ",4,0,0,11,1,0,1,1
"tRF-34-NMEH623K76IR1L",0,0,0,0,0,0,1,0
"tRF-34-NMEH623K7SIR1L",0,0,1,0,0,1,0,0
"tRF-34-NNBX1WZ4RZDM1I",0,0,0,0,0,0,1,0
"tRF-34-NO86RM7KYUPREN",0,0,0,0,0,1,0,0
"tRF-34-NOBZUP82R9D9H3",1,0,0,0,0,0,0,0
"tRF-34-NPNNBX1WZ4RZ0Z",0,0,0,0,0,0,0,1
"tRF-34-NRDF7UK87SIR19",0,1,0,0,1,5,0,1
"tRF-34-NRDXEPZY0DI606",0,0,0,0,0,0,1,0
"tRF-34-NSRJ7KYUHR05JV",0,0,0,1,0,0,0,0
"tRF-34-NSRJ7KYUHR0VJV",0,0,0,0,0,0,0,1
"tRF-34-NWB162XB0ZZR0Y",0,0,0,1,1,0,0,0
"tRF-34-NXJMFKYOY7N72R",0,0,1,3,1,1,4,5
"tRF-34-NYDRFU8U76D71Z",0,0,0,0,1,1,0,0
"tRF-34-NYH2SBUL6JYB1J",0,0,0,0,0,0,1,0
"tRF-34-NZ1QBLS17ONREE",0,1,0,0,0,0,0,0
"tRF-34-O045DBNIB9I112",0,0,1,0,1,0,1,0
"tRF-34-O0789NLJK1JKEM",2,1,0,0,2,3,1,0
"tRF-34-O28HR9O13MMVHJ",3,0,1,1,0,1,3,4
"tRF-34-O2WHR9O13MMVHJ",2,0,1,6,3,1,2,2
"tRF-34-O2Y6R9O9NJ9I1V",2,1,0,4,0,0,2,0
"tRF-34-O2YXR9O9NJ9I1V",11,4,3,13,2,3,24,7
"tRF-34-O2Z0R95M39731V",5,0,3,1,8,1,3,3
"tRF-34-O2Z0R9OM3973JV",2,0,0,0,0,0,0,1
"tRF-34-O2ZFR95MN1Q31V",1,0,1,2,0,0,1,2
"tRF-34-O7M8LOMLQHWUHJ",0,0,1,0,0,0,0,0
"tRF-34-O9IOIQ5O8LZ5FR",0,0,0,1,0,0,0,0
"tRF-34-OB9ZFH690M0RFF",147,22,36,349,87,13,86,27
"tRF-34-ODJIZKRNLN39HQ",0,0,0,1,0,0,0,0
"tRF-34-OK8Y1951825KFV",0,2,2,0,0,0,0,0
"tRF-34-OK8Y19O182RKFV",1,0,1,1,1,1,0,1
"tRF-34-OK8YR951K36DFV",3,3,0,5,4,1,6,5
"tRF-34-OKNH99OMEMR3FV",0,0,0,0,0,0,0,1
"tRF-34-OKW419518FMKFV",7,2,6,11,3,1,7,5
"tRF-34-OKW4195R8FMKFV",11,5,3,16,6,5,8,9
"tRF-34-OKZH99DMEMR3FV",0,0,0,0,0,0,0,1
"tRF-34-OMXF026ZEDKZFQ",0,0,0,1,0,0,3,0
"tRF-34-ON4VN1EH6KK825",0,0,1,0,0,0,0,0
"tRF-34-OOJ0QXL13XZ512",3,2,1,4,1,0,4,0
"tRF-34-OR183O9EDJHP15",3,3,0,1,1,3,7,0
"tRF-34-OSM83O9EDJSYEQ",0,0,0,0,1,2,0,0
"tRF-34-OUR8309NDJ58EP",1,0,0,0,0,0,0,0
"tRF-34-OYUE4BOPRN11JQ",3,1,1,7,1,0,3,0
"tRF-34-P21MNKYUPR180V",14,11,8,19,5,3,11,11
"tRF-34-P2PSSELQBDYBEQ",0,0,0,0,0,0,2,0
"tRF-34-P46INO86RM7KKK",0,0,0,0,2,0,0,0
"tRF-34-P4R8YP9LON4VHM",159,57,18,26,50,112,57,41
"tRF-34-P7JL1Y2LNOZ7I2",1,1,0,2,0,0,3,1
"tRF-34-PE0IOB9ZFH69EI",5,1,0,3,1,0,0,0
"tRF-34-PH113KYO8R65HJ",0,0,0,0,0,0,1,0
"tRF-34-PIN24YDRFU8U25",34,18,21,19,47,31,26,19
"tRF-34-PIN2NYDRFU8U25",0,1,0,0,0,0,0,0
"tRF-34-PIR8YP9LON4VHJ",4,1,0,0,0,0,1,2
"tRF-34-PJB7MNLE308HI1",2,0,0,0,0,0,0,0
"tRF-34-PLBIUBNXJMFKK2",0,0,0,0,0,1,0,0
"tRF-34-PLQVNRDF7UK825",0,0,0,0,0,0,0,1
"tRF-34-PMF732Q86N7KKK",2,0,2,0,0,0,0,0
"tRF-34-PN6ISBWOFFR32Y",0,0,0,0,0,0,1,0
"tRF-34-PNB7ZO7OFND00V",0,1,0,2,1,1,10,0
"tRF-34-PNR8YO9LON4VHJ",1,0,0,0,0,0,0,0
"tRF-34-PRI3SERXPIN2HQ",0,0,0,0,0,1,0,0
"tRF-34-PS5P4PW3FJHPEQ",984,136,189,521,399,365,571,233
"tRF-34-PSQP4PW3FJI0E5",35415,11677,3491,6299,20109,4026,20352,6179
"tRF-34-PSQP4PW3FJI0EJ",243,44,24,74,104,16,321,42
"tRF-34-PSQP4PW3FJIKE5",21973,6298,7037,12507,12275,3208,25363,8703
"tRF-34-PSQP4PWEFJI0E5",18,8,3,3,17,0,13,2
"tRF-34-PV6RRNLNK88K0R",0,0,0,1,0,0,0,0
"tRF-34-PV6RRNLNK88KHR",23,6,17,32,12,17,21,22
"tRF-34-PV94V4SMIFFN12",3,3,8,6,8,3,23,3
"tRF-34-PW5SVP9N15WV2P",42987,8108,13821,25530,60843,6541,16845,9467
"tRF-34-PY5P4PW3FJHPEQ",2,0,0,0,1,0,0,0
"tRF-34-PY8HM2OSRNLN1J",0,0,0,0,0,0,2,0
"tRF-34-Q01M3KYOHR6HEV",3,0,1,3,0,0,1,0
"tRF-34-Q1Q89P9L8422KJ",892,139,487,337,423,420,1616,622
"tRF-34-Q4NKKQBRFKWEI7",0,0,0,0,0,0,1,0
"tRF-34-Q622EVUIJVK6KD",0,0,1,1,1,0,4,0
"tRF-34-Q86N7KYUSRHY2D",1,1,1,6,0,1,3,4
"tRF-34-Q89P9L8422YRF5",0,0,0,0,1,0,0,0
"tRF-34-Q99P9P9NH57S15",2522,2023,190,153,1495,1332,557,759
"tRF-34-QB1M38HOB6680R",0,0,0,1,0,0,0,0
"tRF-34-QB1M48SUBSF80R",1,0,0,0,0,0,0,0
"tRF-34-QB1MK8YU8S680R",1,0,0,0,1,1,3,0
"tRF-34-QB1MK8YUBS680R",4,1,3,8,3,12,0,4
"tRF-34-QB1MK8YUBS6P09",0,0,0,0,1,0,0,0
"tRF-34-QB1MK8YUBY680R",0,0,0,1,0,0,0,0
"tRF-34-QK11M3WE8SP6JU",0,0,0,1,0,0,0,0
"tRF-34-QK11M3WE8SPOJU",1,1,2,2,1,1,0,0
"tRF-34-QKF1R38E8RO8IS",72,19,44,129,83,118,50,105
"tRF-34-QKF1R3WE8RB8IS",0,0,0,0,0,1,0,0
"tRF-34-QKF1R3WE8RO8IS",773,224,636,1109,852,1322,469,1089
"tRF-34-QNR8VP9LFQFY1Q",2,1,1,2,0,0,4,0
"tRF-34-QO945NB2NZW7HV",6,7,15,19,18,28,27,25
"tRF-34-QP4PW3FJI0E727",0,2,0,0,0,0,0,0
"tRF-34-QQKNR7VJKOBNK4",0,0,0,0,1,0,0,0
"tRF-34-QR535Z8LZBZFEE",0,0,2,0,0,0,2,0
"tRF-34-QSZ34KRQ59WIK4",0,0,0,0,0,0,0,1
"tRF-34-R008R959KOMKEV",1,0,2,0,0,0,0,0
"tRF-34-R008R959KUMKEV",200,37,199,156,117,110,264,223
"tRF-34-R008R9D9KUMKEV",32,12,25,27,17,10,38,24
"tRF-34-R0PSR9593J24FV",0,0,2,0,0,0,0,2
"tRF-34-R29P4P9L5HJVKK",0,0,1,0,0,0,0,0
"tRF-34-R29P4P9L5HJVKP",3,0,0,2,2,1,0,0
"tRF-34-R29P4P9L5HLVKK",5,1,2,1,1,1,1,0
"tRF-34-R2IP4OI3FJQSHO",0,3,0,0,0,0,1,0
"tRF-34-R2IP4OQ3FJQYHO",1,7,0,0,0,0,1,0
"tRF-34-R2IP4PQ3FJQSHO",0,2,0,0,0,0,0,0
"tRF-34-R2Z4R95MKM931V",6,5,6,9,4,1,9,5
"tRF-34-R3HJ8KRPFQZDJU",0,0,0,1,0,0,0,0
"tRF-34-R4L2RRM38B8SH8",0,0,0,0,0,0,0,1
"tRF-34-R8K87SERML92E2",0,0,0,0,0,0,2,0
"tRF-34-R9J89O9NF5W8E5",358,119,75,90,209,71,104,104
"tRF-34-R9JP9P9NH5HYHQ",33,18,2,7,22,49,15,9
"tRF-34-R9JP9P9NH5SYHQ",1562,874,178,527,1271,1963,646,276
"tRF-34-R9JP9PMNH5SYHQ",634,421,93,155,577,714,176,160
"tRF-34-RE987S1R27R3E2",0,1,0,0,0,0,0,0
"tRF-34-RE987S1R27R3I2",0,1,0,0,0,0,0,0
"tRF-34-RE987S1RJ7R3I2",2,21,1,0,0,0,3,0
"tRF-34-RE987S1RJ7RMI2",0,0,0,1,0,0,5,0
"tRF-34-RLVIJ3RPFQZDJU",0,0,0,0,0,1,0,0
"tRF-34-RLVIJ4RPFQZDJU",0,0,0,0,0,0,0,1
"tRF-34-ROHL7X0OBQJEK0",1,0,0,4,0,4,0,0
"tRF-34-ROPIN24YDRFUJK",0,0,0,0,0,3,0,0
"tRF-34-RP9830MMUKLYIE",99,40,10,24,42,22,6,8
"tRF-34-RPD9W186L85D14",0,0,0,0,3,0,0,0
"tRF-34-RPD9W1X6L85J14",8,3,2,2,7,1,9,2
"tRF-34-RPFQ5DWXH913H0",0,0,0,0,0,1,1,0
"tRF-34-RPFQRDWXH913H0",0,0,0,0,0,1,0,0
"tRF-34-RPFQRDWXHR13H0",1,1,0,1,1,1,2,0
"tRF-34-RPM8309MUKLYIE",212,121,38,118,131,58,64,18
"tRF-34-RPM830MMUKLYIE",504,405,31,78,171,305,72,56
"tRF-34-RQ59W3ZK8U531K",1,0,0,0,0,0,0,0
"tRF-34-RRJ89O9NF5W8EQ",2,0,0,0,0,0,0,0
"tRF-34-RUPIN24YDRFUJK",0,0,1,1,3,1,0,2
"tRF-34-RVU4727OFIZ9JP",0,0,0,1,0,0,0,0
"tRF-34-RXPIN24YDRFUJK",8,0,9,4,18,13,12,4
"tRF-34-RXPIN2NYDRFUJK",2,0,0,0,0,0,0,0
"tRF-34-RXSINHZ4PVFO15",0,0,1,0,0,0,0,0
"tRF-34-RZYQHQ9M739PJK",6,0,3,2,3,1,3,3
"tRF-34-S2I7L7P5QK111Y",0,0,1,0,0,0,0,0
"tRF-34-S4113KYO8R6QHJ",5,0,0,3,2,1,2,1
"tRF-34-S4113KYU8R6QHJ",3,0,0,1,0,4,0,0
"tRF-34-S41M3KYU8R6QHJ",1,1,0,1,0,0,1,1
"tRF-34-S4I7LZ93Q01M14",1,0,0,0,0,0,1,0
"tRF-34-S4I7LZM3Q01M14",0,0,0,1,2,0,2,0
"tRF-34-S4I7MN93301M14",0,0,0,1,1,0,4,0
"tRF-34-S5QKF1R38E8RH8",0,0,0,0,0,0,1,0
"tRF-34-S5QKF1R3WE8RH8",0,0,0,1,0,1,0,1
"tRF-34-S79PVOEOU5JMKN",0,0,0,0,0,1,0,0
"tRF-34-S998XOW3VHM91W",1,0,0,0,0,0,0,0
"tRF-34-SB325UB1ZZK0HU",0,4,8,27,12,7,33,0
"tRF-34-SERXPIN24YDRE8",0,0,0,0,0,1,0,0
"tRF-34-SERXPIN2NYDRE8",0,1,0,0,0,0,0,0
"tRF-34-SP5830MMUKLYHE",41,65,8,12,49,106,32,9
"tRF-34-SR04SXQ3V2Y72E",33,15,53,30,132,207,7,50
"tRF-34-SR94SX73V2Y81W",1,4,2,2,4,18,0,0
"tRF-34-SR94SX7JV2Y81W",0,0,0,0,1,3,1,0
"tRF-34-SRH4SXQ3V2Y72E",0,0,0,0,2,3,0,0
"tRF-34-U05OJIH6Z3NPIJ",0,0,0,1,0,0,0,0
"tRF-34-U5XBINVDRI2QFV",0,0,0,1,2,0,0,0
"tRF-34-U736DFHFNBDWKH",0,0,0,1,0,0,0,0
"tRF-34-UBNXJMFKYOY7H5",0,0,0,0,0,0,1,0
"tRF-34-UBRY73WBK5K2I8",2,1,0,0,0,1,0,0
"tRF-34-UD10H7RNLEKP1Y",0,0,0,2,0,1,0,0
"tRF-34-UDBDO4I9O9IOFO",0,0,0,1,0,0,0,0
"tRF-34-UDJKSV5N2E4VJY",0,0,1,0,0,0,0,0
"tRF-34-UDL0H5RNLDKW1N",0,0,0,0,0,0,1,1
"tRF-34-UDM0IBB7Z92KE1",0,4,5,13,13,9,35,0
"tRF-34-UE02K0F78BP7FZ",0,0,0,1,0,2,0,0
"tRF-34-UE4BOPRN11WZK1",0,1,0,1,0,0,0,0
"tRF-34-UHK0SVRNLMKWE4",0,0,0,2,0,0,0,0
"tRF-34-UHK0SVRNLMKWEP",0,0,0,1,0,0,0,0
"tRF-34-UJHJX78OP3X11Y",1,0,0,0,0,0,1,0
"tRF-34-UKJ6P9M0NK5YJY",0,0,0,0,0,0,0,1
"tRF-34-UKJYP940KK5YJY",1,0,0,0,0,0,0,0
"tRF-34-URLBINRXURYR21",1,0,0,1,0,0,3,0
"tRF-34-V0UEDP5IUDK7JE",4,0,0,4,4,3,3,0
"tRF-34-V25Z2IUIX1Q7HV",1,2,6,6,4,9,12,8
"tRF-34-V29K9UV36562FQ",89,159,72,211,52,165,341,93
"tRF-34-V2Y8L981PV6RIZ",0,0,0,0,2,1,0,0
"tRF-34-V47P596VW631I4",0,0,0,0,0,0,1,0
"tRF-34-V47PU9XW983FIF",0,0,0,2,0,0,0,0
"tRF-34-V6M9P90HLBRR14",0,0,0,0,0,0,0,1
"tRF-34-V6XO59KNNVORIZ",0,0,0,0,0,1,0,0
"tRF-34-V6Z3M8ZLSSXUH7",19,10,6,23,6,8,28,7
"tRF-34-VBY9PYKHM26RIZ",2,0,2,3,1,1,2,2
"tRF-34-VEX0K3XN13QXIP",0,0,0,2,0,0,0,0
"tRF-34-VF4YO9XEKJ5RHZ",0,1,0,0,0,0,0,0
"tRF-34-VFVIPZK0JNORIZ",0,0,2,1,1,5,1,0
"tRF-34-VHJYOZ4E8BR91Y",1,0,0,0,0,0,0,1
"tRF-34-VHJYOZ4E8BRYJY",0,0,2,0,1,0,0,0
"tRF-34-VI7O409Z7KZO2J",0,0,1,0,0,0,0,0
"tRF-34-VIJMRPFQ5DWXF3",0,0,0,2,0,2,2,1
"tRF-34-VIJMRPFQRDWXFJ",0,0,0,1,0,1,3,0
"tRF-34-VIZKXXI363U0EQ",2,0,0,0,0,0,0,0
"tRF-34-VL3NBZKEUI1ZJR",0,0,0,0,0,0,1,0
"tRF-34-VL4YMY91PJB71Z",5,1,12,10,9,8,7,10
"tRF-34-VL8RPY8HM2OSIZ",0,0,0,0,0,1,0,0
"tRF-34-VP941QKS3W2VIX",0,1,0,0,0,1,1,0
"tRF-34-VP94FQFY392JFE",1,1,0,1,1,0,0,0
"tRF-34-VP9LFQFY392JFE",1,0,0,0,0,1,0,0
"tRF-34-VP9N15WV7W6SF9",0,1,0,0,0,0,0,0
"tRF-34-VRI8WX6R2BIZ20",0,1,0,0,0,0,0,0
"tRF-34-VU6RM38EKSPMJ2",0,0,0,2,1,0,0,0
"tRF-34-VU6RM3WEKSPMJ2",0,0,0,3,0,0,1,0
"tRF-34-VURRM3WEKSPMJ2",1,0,0,1,0,0,0,0
"tRF-34-W631QJ3KYUYR2D",3,2,0,7,4,1,1,3
"tRF-34-W6RERNLN4Q1R29",2,0,0,1,0,0,2,1
"tRF-34-W9RKM87SDR2SHM",0,2,0,0,0,0,0,0
"tRF-34-WBOJFZ2DN1RJKJ",2,5,2,9,3,0,7,2
"tRF-34-WFUBNOBZUP822E",0,0,0,0,0,0,1,0
"tRF-34-WJQ72S3HPSR9IE",0,0,1,0,0,0,0,0
"tRF-34-WLBSDEL87SBRHD",0,0,0,0,0,0,0,1
"tRF-34-WLV47PU9XW981M",2,1,1,0,0,2,1,0
"tRF-34-WN1Q18X3HRL722",0,0,0,1,0,0,0,0
"tRF-34-WO1M38YU8SRZ19",0,0,0,0,1,1,0,1
"tRF-34-WOFFR3VJ4ZZ5FV",0,0,2,1,1,0,1,0
"tRF-34-WOYO1N3KYUSRI8",0,0,0,1,0,0,0,0
"tRF-34-WU1M70YU890HI9",12,7,9,14,8,0,12,10
"tRF-34-WU1M70YUP90HI9",1,10,3,8,5,0,5,3
"tRF-34-WU1MN0YU09FKI9",9,12,5,44,7,10,11,12
"tRF-34-WU1MN0YUP9F2I9",1,1,1,14,0,0,4,4
"tRF-34-WU2F5JYH0RYN2V",0,0,0,0,0,1,1,0
"tRF-34-WURMJKYOSR99I9",2,1,1,4,0,2,1,3
"tRF-34-WYL1M3WE8S681U",2,0,5,9,2,1,3,2
"tRF-34-X0SW5NLJ45EKI1",1,0,0,0,3,2,1,1
"tRF-34-X0SW5NLM45EKI1",4,4,0,8,4,5,4,2
"tRF-34-X6L85J3KYUYRIV",1,1,4,0,2,3,2,4
"tRF-34-XBINVDRI2Q2R1B",1,0,1,7,0,0,1,4
"tRF-34-XBKJZ8R3WE8Z1Q",0,0,0,1,0,0,2,1
"tRF-34-XENDBP1IUUK7JE",204,144,192,634,258,191,293,185
"tRF-34-XF026ZEDKZIX1J",2,3,1,3,1,2,7,0
"tRF-34-XJHJX78OP3X11Y",0,0,0,1,2,0,0,0
"tRF-34-XK8SR95R3JH9FV",0,0,1,0,0,0,0,0
"tRF-34-XKKSR95R3JH9FV",0,0,0,0,1,0,1,0
"tRF-34-XKKSR9DR3JH9FV",0,0,0,0,1,0,0,0
"tRF-34-XKS6RN23KYY8IM",5,1,0,3,1,1,0,2
"tRF-34-XKS6RN23KYYPIM",0,0,0,1,0,0,0,0
"tRF-34-XR6LQ6S8V0J6HW",0,0,0,4,0,0,0,0
"tRF-34-XR6XQ6S8V0JUHW",2,5,0,1,5,3,0,1
"tRF-34-XRK4WO2F9IY9E2",29,33,25,96,22,27,124,50
"tRF-34-XSXMSL73VL4YHE",4163,638,1045,1442,3922,917,1523,1002
"tRF-34-XU53K876DRMDH9",0,0,0,0,0,1,0,2
"tRF-34-XXI363U0EZY9JR",8,3,2,13,7,9,17,9
"tRF-34-Y3E7QN7JLP21J4",1,0,1,1,1,3,1,1
"tRF-34-Y3HRL7S5QKF1IY",0,0,0,0,1,0,0,0
"tRF-34-Y4VIU736DFHFHL",0,0,0,1,0,0,0,0
"tRF-34-Y5KKM1M3WD8S2N",1,3,0,0,0,1,1,0
"tRF-34-Y694U47P299DJP",3,9,3,0,6,0,15,3
"tRF-34-Y6FPZD3KYUYRIV",1,0,0,1,3,1,0,1
"tRF-34-Y6V4V47Q2QNIK1",3,6,1,2,5,3,6,4
"tRF-34-Y6V4V47Q2WNIK1",185,224,71,43,105,109,173,71
"tRF-34-Y6V4VH7Q2WNIK1",0,2,1,0,2,1,1,0
"tRF-34-Y81H93WB863II2",1,0,0,0,0,0,0,0
"tRF-34-Y8L981PV6RRN17",0,0,0,0,1,0,1,0
"tRF-34-Y8RH93WB863II2",1,0,0,0,0,0,0,0
"tRF-34-Y91293WEW6VMHH",2,2,0,1,2,0,3,3
"tRF-34-YDLBRY73W0K51H",7,3,4,13,4,5,6,10
"tRF-34-YDLBRY73WEK51H",1,0,0,3,0,0,0,0
"tRF-34-YDU37Y93Y086K4",0,0,0,1,0,0,0,0
